Transaction_ID,Transaction_Date,Customer_ID,Customer_Segment,Region,Product_Category,Quantity,Discount_Percentage,Actual_Billed_Amount
TXN_1,12-07-2023,CUST_1,Consumer,South,Technology,8,0.19,997.92
TXN_2,03-11-2023,CUST_2,Corporate,West,Furniture,4,0.24,777.16
TXN_3,30-06-2023,CUST_3,Consumer,West,Technology,9,0.27,736.28
TXN_4,19-10-2023,CUST_4,Corporate,South,Technology,5,0.19,800.71
TXN_5,09-10-2023,CUST_5,Corporate,Central,Furniture,9,0.29,228.82
TXN_6,29-01-2023,CUST_6,Home Office,Central,Furniture,4,0.18,284.09
TXN_7,29-05-2023,CUST_7,Corporate,West,Technology,5,0.19,742.66
TXN_8,24-09-2023,CUST_8,Home Office,Central,Office Supplies,9,0.17,544.58
TXN_9,23-10-2023,CUST_9,Consumer,East,Technology,8,0.03,779.17
TXN_10,11-01-2023,CUST_10,Consumer,West,Technology,3,0.22,192.62
TXN_11,13-06-2023,CUST_11,Consumer,Central,Technology,1,0.16,582.83
TXN_12,23-04-2023,CUST_12,Consumer,West,Technology,3,0.14,440.94
TXN_13,06-07-2023,CUST_13,Home Office,East,Furniture,4,0.27,511.3
TXN_14,22-10-2023,CUST_14,Consumer,West,Technology,2,0.09,643.56
TXN_15,20-08-2023,CUST_15,Corporate,West,Office Supplies,1,0.16,552.06
TXN_16,15-08-2023,CUST_16,Corporate,West,Furniture,7,0.21,585.87
TXN_17,06-11-2023,CUST_17,Corporate,West,Office Supplies,8,0.24,537.72
TXN_18,08-04-2023,CUST_18,Home Office,East,Office Supplies,7,0.14,468.06
TXN_19,24-02-2023,CUST_19,Consumer,South,Office Supplies,5,0.25,794.69
TXN_20,21-04-2023,CUST_20,Consumer,West,Office Supplies,1,0.23,110.98
TXN_21,01-06-2023,CUST_21,Consumer,West,Furniture,7,0.02,638.6
TXN_22,03-09-2023,CUST_22,Home Office,Central,Furniture,7,0.01,608.96
TXN_23,10-03-2023,CUST_23,Corporate,West,Office Supplies,9,0.19,744.56
TXN_24,08-11-2023,CUST_24,Corporate,Central,Office Supplies,3,0.1,639.13
TXN_25,16-10-2023,CUST_25,Consumer,South,Furniture,9,0.06,844.12
TXN_26,07-09-2023,CUST_26,Corporate,East,Furniture,1,0.17,963.17
TXN_27,05-02-2023,CUST_27,Corporate,East,Furniture,1,0.1,408.27
TXN_28,27-08-2023,CUST_28,Home Office,South,Technology,4,0.16,304.62
TXN_29,28-05-2023,CUST_29,Home Office,East,Technology,9,0.14,481.24
TXN_30,15-08-2023,CUST_30,Home Office,South,Technology,6,0.18,359.14
TXN_31,01-09-2023,CUST_31,Home Office,South,Office Supplies,3,0.12,653.46
TXN_32,03-12-2023,CUST_32,Consumer,South,Technology,1,0.21,920.67
TXN_33,31-12-2023,CUST_33,Home Office,East,Office Supplies,4,0.05,225.2
TXN_34,20-07-2023,CUST_34,Corporate,Central,Office Supplies,9,0.21,190.72
TXN_35,03-06-2023,CUST_35,Consumer,South,Technology,3,0.12,330.41
TXN_36,14-03-2023,CUST_36,Corporate,West,Office Supplies,9,0.26,753.49
TXN_37,20-07-2023,CUST_37,Corporate,East,Technology,7,0.15,633.67
TXN_38,23-10-2023,CUST_38,Corporate,South,Technology,4,0.29,191.99
TXN_39,17-01-2023,CUST_39,Home Office,South,Furniture,3,0.18,926.88
TXN_40,09-05-2023,CUST_40,Home Office,West,Technology,5,0.07,811.08
TXN_41,05-08-2023,CUST_41,Consumer,Central,Furniture,5,0.25,120.72
TXN_42,02-03-2023,CUST_42,Consumer,Central,Technology,3,0.1,686.23
TXN_43,14-04-2023,CUST_43,Home Office,Central,Technology,9,0.1,794.12
TXN_44,11-02-2023,CUST_44,Corporate,South,Furniture,4,0.01,436.99
TXN_45,25-01-2023,CUST_45,Consumer,South,Furniture,5,0.16,162.03
TXN_46,08-02-2023,CUST_46,Home Office,South,Technology,4,0.16,169.59
TXN_47,18-10-2023,CUST_47,Home Office,East,Office Supplies,5,0.11,193.82
TXN_48,11-05-2023,CUST_48,Home Office,West,Furniture,7,0.27,856.4
TXN_49,17-08-2023,CUST_49,Corporate,South,Office Supplies,9,0.04,919.62
